pid,lat,lon,coords,points
4373908690,53.334,-2.20976,POINT (-2.20976 53.334),POINT (-2.20976 53.334)
4239641747,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4266131452,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4288119085,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4269008599,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4271239888,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4277378468,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4259314326,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4245043342,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4251072086,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4286215292,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4257523452,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4253226395,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4277952859,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4246957667,51.5402,-3.18603,POINT (-3.18603 51.5402),POINT (-3.18603 51.5402)
4324302721,51.4956,-0.146781,POINT (-0.146781 51.4956),POINT (-0.146781 51.4956)
4233144879,51.5102,-0.114326,POINT (-0.114326 51.5102),POINT (-0.114326 51.5102)
4337888055,54.4121,-6.5575,POINT (-6.5575 54.4121),POINT (-6.5575 54.4121)
4350719035,54.5788,-5.93467,POINT (-5.93467 54.5788),POINT (-5.93467 54.5788)
4249610386,51.4502,-0.122437,POINT (-0.122437 51.4502),POINT (-0.122437 51.4502)
4373152733,53.4847,-2.2431,POINT (-2.2431 53.4847),POINT (-2.2431 53.4847)
4373908008,53.4847,-2.2431,POINT (-2.2431 53.4847),POINT (-2.2431 53.4847)
4373151763,53.4847,-2.2431,POINT (-2.2431 53.4847),POINT (-2.2431 53.4847)
4373906242,53.4847,-2.2431,POINT (-2.2431 53.4847),POINT (-2.2431 53.4847)
4373907560,53.4847,-2.2431,POINT (-2.2431 53.4847),POINT (-2.2431 53.4847)
4373154943,53.4847,-2.2431,POINT (-2.2431 53.4847),POINT (-2.2431 53.4847)
4373910102,53.4847,-2.2431,POINT (-2.2431 53.4847),POINT (-2.2431 53.4847)
4373911010,53.4847,-2.2431,POINT (-2.2431 53.4847),POINT (-2.2431 53.4847)
4373151375,53.4847,-2.2431,POINT (-2.2431 53.4847),POINT (-2.2431 53.4847)
4265927806,53.7904,-1.55313,POINT (-1.55313 53.7904),POINT (-1.55313 53.7904)
4382103223,53.3794,-1.45911,POINT (-1.45911 53.3794),POINT (-1.45911 53.3794)
4350344727,53.4838,-2.24396,POINT (-2.24396 53.4838),POINT (-2.24396 53.4838)
4382866508,53.3799,-1.45749,POINT (-1.45749 53.3799),POINT (-1.45749 53.3799)
4382104897,53.3799,-1.45749,POINT (-1.45749 53.3799),POINT (-1.45749 53.3799)
4382105905,53.3799,-1.45749,POINT (-1.45749 53.3799),POINT (-1.45749 53.3799)
4382863826,53.3799,-1.45749,POINT (-1.45749 53.3799),POINT (-1.45749 53.3799)
4382103529,53.3799,-1.45749,POINT (-1.45749 53.3799),POINT (-1.45749 53.3799)
4382103923,53.3799,-1.45749,POINT (-1.45749 53.3799),POINT (-1.45749 53.3799)
4382104189,53.3799,-1.45749,POINT (-1.45749 53.3799),POINT (-1.45749 53.3799)
4382104493,53.3799,-1.45749,POINT (-1.45749 53.3799),POINT (-1.45749 53.3799)
4302297360,51.494,-0.10275,POINT (-0.10275 51.494),POINT (-0.10275 51.494)
4302298842,51.494,-0.10275,POINT (-0.10275 51.494),POINT (-0.10275 51.494)
4373580879,54.4497,-3.04507,POINT (-3.04507 54.4497),POINT (-3.04507 54.4497)
4373567535,54.4497,-3.04507,POINT (-3.04507 54.4497),POINT (-3.04507 54.4497)
4369242165,53.2664,-2.60316,POINT (-2.60316 53.2664),POINT (-2.60316 53.2664)
4248035736,53.341,-2.68903,POINT (-2.68903 53.341),POINT (-2.68903 53.341)
4380565762,55.9585,-3.18462,POINT (-3.18462 55.9585),POINT (-3.18462 55.9585)
4366532178,53.3722,-2.95952,POINT (-2.95952 53.3722),POINT (-2.95952 53.3722)
4269922474,53.4059,-2.97438,POINT (-2.97438 53.4059),POINT (-2.97438 53.4059)
4269255379,53.4059,-2.97438,POINT (-2.97438 53.4059),POINT (-2.97438 53.4059)
4270000892,53.4059,-2.97438,POINT (-2.97438 53.4059),POINT (-2.97438 53.4059)
4271518777,53.4071,-2.9656,POINT (-2.9656 53.4071),POINT (-2.9656 53.4071)
4277000963,53.4071,-2.9656,POINT (-2.9656 53.4071),POINT (-2.9656 53.4071)
4318418005,51.4866,-0.252556,POINT (-0.252556 51.4866),POINT (-0.252556 51.4866)
4318415229,51.4866,-0.252556,POINT (-0.252556 51.4866),POINT (-0.252556 51.4866)
4318412085,51.4866,-0.252556,POINT (-0.252556 51.4866),POINT (-0.252556 51.4866)
4282835792,53.4055,-2.96817,POINT (-2.96817 53.4055),POINT (-2.96817 53.4055)
4282833354,53.4055,-2.96817,POINT (-2.96817 53.4055),POINT (-2.96817 53.4055)
4309471107,53.4054,-2.9756,POINT (-2.9756 53.4054),POINT (-2.9756 53.4054)
4307055649,53.3994,-2.99001,POINT (-2.99001 53.3994),POINT (-2.99001 53.3994)
4377140732,53.4139,-2.91211,POINT (-2.91211 53.4139),POINT (-2.91211 53.4139)
4248799759,53.3988,-2.9738,POINT (-2.9738 53.3988),POINT (-2.9738 53.3988)
4341250477,53.4066,-2.96565,POINT (-2.96565 53.4066),POINT (-2.96565 53.4066)
4360791876,53.4041,-2.9643,POINT (-2.9643 53.4041),POINT (-2.9643 53.4041)
4344088433,53.4039,-2.96421,POINT (-2.96421 53.4039),POINT (-2.96421 53.4039)
4313796264,53.4068,-2.9249,POINT (-2.9249 53.4068),POINT (-2.9249 53.4068)
4301121973,53.4089,-2.97137,POINT (-2.97137 53.4089),POINT (-2.97137 53.4089)
4264343418,53.4168,-2.90081,POINT (-2.90081 53.4168),POINT (-2.90081 53.4168)
4273351713,51.4606,-0.306608,POINT (-0.306608 51.4606),POINT (-0.306608 51.4606)
4274064428,51.4606,-0.306608,POINT (-0.306608 51.4606),POINT (-0.306608 51.4606)
4317535704,53.4051,-2.88951,POINT (-2.88951 53.4051),POINT (-2.88951 53.4051)
4310207336,53.407,-2.96597,POINT (-2.96597 53.407),POINT (-2.96597 53.407)
4376397425,53.4068,-2.96588,POINT (-2.96588 53.4068),POINT (-2.96588 53.4068)
4399682726,53.4154,-2.90284,POINT (-2.90284 53.4154),POINT (-2.90284 53.4154)
4253405711,53.4154,-2.90284,POINT (-2.90284 53.4154),POINT (-2.90284 53.4154)
4399688196,53.4154,-2.90284,POINT (-2.90284 53.4154),POINT (-2.90284 53.4154)
4242806722,53.4154,-2.90284,POINT (-2.90284 53.4154),POINT (-2.90284 53.4154)
4384490959,53.4154,-2.90284,POINT (-2.90284 53.4154),POINT (-2.90284 53.4154)
4251505147,53.4154,-2.90284,POINT (-2.90284 53.4154),POINT (-2.90284 53.4154)
4233868601,53.4154,-2.90284,POINT (-2.90284 53.4154),POINT (-2.90284 53.4154)
4398919547,53.4154,-2.90284,POINT (-2.90284 53.4154),POINT (-2.90284 53.4154)
4318978966,51.5189,-0.207291,POINT (-0.207291 51.5189),POINT (-0.207291 51.5189)
4318982518,51.5189,-0.207291,POINT (-0.207291 51.5189),POINT (-0.207291 51.5189)
4318252177,51.5189,-0.207291,POINT (-0.207291 51.5189),POINT (-0.207291 51.5189)
4318992848,51.5189,-0.207291,POINT (-0.207291 51.5189),POINT (-0.207291 51.5189)
4335598423,53.3908,-2.92279,POINT (-2.92279 53.3908),POINT (-2.92279 53.3908)
4363213559,53.4055,-2.96809,POINT (-2.96809 53.4055),POINT (-2.96809 53.4055)
4363210883,53.4055,-2.96809,POINT (-2.96809 53.4055),POINT (-2.96809 53.4055)
4244045121,53.4086,-2.98151,POINT (-2.98151 53.4086),POINT (-2.98151 53.4086)
4269995774,53.3999,-2.97138,POINT (-2.97138 53.3999),POINT (-2.97138 53.3999)
4313070763,53.4061,-2.95562,POINT (-2.95562 53.4061),POINT (-2.95562 53.4061)
4360044289,53.4014,-2.98606,POINT (-2.98606 53.4014),POINT (-2.98606 53.4014)
4352941377,53.4034,-2.98597,POINT (-2.98597 53.4034),POINT (-2.98597 53.4034)
4288266237,53.403,-2.96958,POINT (-2.96958 53.403),POINT (-2.96958 53.403)
4274063156,51.4618,-0.308979,POINT (-0.308979 51.4618),POINT (-0.308979 51.4618)
4296666012,53.4046,-2.96805,POINT (-2.96805 53.4046),POINT (-2.96805 53.4046)
4376392627,53.405,-2.96391,POINT (-2.96391 53.405),POINT (-2.96391 53.405)
4317522168,53.416,-2.90024,POINT (-2.90024 53.416),POINT (-2.90024 53.416)
4326570598,53.4051,-2.97751,POINT (-2.97751 53.4051),POINT (-2.97751 53.4051)
4352943041,53.4045,-2.96927,POINT (-2.96927 53.4045),POINT (-2.96927 53.4045)
4309495821,53.408,-2.96639,POINT (-2.96639 53.408),POINT (-2.96639 53.408)
4293040697,53.4152,-2.90218,POINT (-2.90218 53.4152),POINT (-2.90218 53.4152)
4275344754,53.4152,-2.90218,POINT (-2.90218 53.4152),POINT (-2.90218 53.4152)
4269260273,53.4152,-2.90218,POINT (-2.90218 53.4152),POINT (-2.90218 53.4152)
4285143667,53.4006,-2.97945,POINT (-2.97945 53.4006),POINT (-2.97945 53.4006)
4399677426,53.4039,-2.96387,POINT (-2.96387 53.4039),POINT (-2.96387 53.4039)
4332572209,53.4039,-2.96387,POINT (-2.96387 53.4039),POINT (-2.96387 53.4039)
4267470090,53.4045,-2.96923,POINT (-2.96923 53.4045),POINT (-2.96923 53.4045)
4322368082,53.4074,-2.96626,POINT (-2.96626 53.4074),POINT (-2.96626 53.4074)
4305127374,53.4068,-2.96599,POINT (-2.96599 53.4068),POINT (-2.96599 53.4068)
4376395917,53.4154,-2.90313,POINT (-2.90313 53.4154),POINT (-2.90313 53.4154)
4349257911,53.4154,-2.90313,POINT (-2.90313 53.4154),POINT (-2.90313 53.4154)
4341246665,53.4154,-2.90313,POINT (-2.90313 53.4154),POINT (-2.90313 53.4154)
4319304365,53.4154,-2.90313,POINT (-2.90313 53.4154),POINT (-2.90313 53.4154)
4360788694,53.4154,-2.90313,POINT (-2.90313 53.4154),POINT (-2.90313 53.4154)
4329045218,53.4154,-2.90313,POINT (-2.90313 53.4154),POINT (-2.90313 53.4154)
4317532196,53.404,-2.96212,POINT (-2.96212 53.404),POINT (-2.96212 53.404)
4365802409,53.3948,-2.97653,POINT (-2.97653 53.3948),POINT (-2.97653 53.3948)
4365809047,53.3725,-2.96077,POINT (-2.96077 53.3725),POINT (-2.96077 53.3725)
